LP,TradeQuantityUSD,NumEvents,MarkoutType,-10s,-5s,-4s,-3s,-2s,-1s,-500ms,-250ms,-100ms,0,50ms,100ms,250ms,500ms,1s,2s,3s,4s,5s,10s,15s,20s,30s,45s,1m,2m,3m,4m,5m,10m
LP1,286936201.0,343,Markouts,90.07951359508888,76.58727211042059,76.07224420638899,78.854401861615,75.0217455394698,74.01665433406009,73.35398184651305,70.73319823210396,69.3882600830276,68.06549851121466,67.51545728826548,65.96727320767926,56.43558680387903,48.449228265884315,46.98341731478841,45.481476312861446,48.66864667207402,50.19604155474169,48.82030964677624,26.831080663149727,21.200667525247127,19.37550427219461,24.91480014706753,34.398134292192736,42.749671043320916,60.73166861827744,56.261038850609836,69.70405098671704,79.12015878725214,108.73736058034184
LP2,321161960.0,564,Markouts,44.68866330885194,35.023065585891,33.885582804977275,33.76548296936568,33.33894138351531,33.18767831101113,33.914668527795754,32.55708933964961,31.45337877610315,28.681857710524493,27.359567306974483,26.290838772363568,18.484673622464996,13.047947498199113,11.782052566718964,9.246558483325312,5.983801642333859,3.2765143572968967,2.5098646768326915,-1.334628671060706,-2.88856425948687,-5.599512365414565,-8.334381113970377,-4.317198730555479,-3.8027319651542406,3.643129885383047,-0.21926500476940092,10.343317740798323,34.31912414714314,53.14769393443315
LP3,565515848.5,719,Markouts,9.816658102820538,12.237440998214646,11.056371368519555,15.600118421109023,13.54912780404908,19.28275486266412,21.975045491642426,22.440683858031456,22.313411627091643,23.368342390308527,23.277219148656137,23.479218930609065,21.20360902826833,17.94241818275479,18.842234476882865,19.999810618089633,22.411442569003572,25.410449935118706,28.24261309856825,24.361594735025758,26.247363183313055,19.767567381772935,15.410895380172441,23.033230787917553,26.006964510915267,28.711826749146823,37.37934465917231,53.71567195285998,62.108982497476205,41.82145951529793
LP4,432112378.5,623,Markouts,31.477660510029768,25.018317150163632,23.705410508911804,21.80900198649005,25.47593658304079,28.308175997513523,27.531122155126294,26.674110537420525,23.22458221197027,22.237238643130073,21.49360057463124,20.65352264566856,19.790806015320726,16.387690043990624,12.800231708998353,7.282764522764818,6.182447690563819,5.649078782187264,1.9194218406677486,-2.089351035622183,-9.920547110048066,-14.507663786119071,-19.184140195925135,-20.29827765236124,-19.047832815895372,-21.446940561617065,-31.39067735258129,-27.492443102263675,-25.522675907037897,-20.992311704222796
LP5,1085699401.0,1159,Markouts,37.76016650468836,25.445430035645927,24.090070401814316,22.39863271134093,22.61313719565954,19.369022984799713,19.69561735941018,19.142650957428224,20.39416536686805,20.39801772893406,20.59823690152823,21.60092494971766,22.517375763015576,19.790804844062087,17.959962089341555,15.284075764042342,15.326573829736988,13.96190458846635,12.223715279788891,14.821193232276503,11.842249082198535,10.930821374405967,13.151078231730253,14.280133841484426,23.7146083304265,36.07695359640372,24.886504424084368,36.008239171672294,51.97499743569614,36.03600673996837
LP6,658743399.5,934,Markouts,42.26237328217442,32.1539782520134,30.747553979790574,30.745509460718985,28.739515390539328,27.868170623480292,26.272191146407078,26.51133129651976,27.040456420069642,25.995551951058346,25.60370422361854,24.734420942888246,20.607622836851927,16.49517864157811,14.231780451053819,10.781260699115126,10.052716314233077,7.876786408652443,7.795432943009299,3.559439569512712,-1.7469243725154868,0.4217483112592362,-0.1413932527757602,0.25663592292959336,10.998920336605025,15.313468695687193,16.9180103356627,10.123826750549576,28.693899070098677,44.329974519210836
LP1,286936201.0,343,MarkoutsAtZero,-22.01401508387423,-8.52177359920593,-8.00674569517433,-10.788903350400352,-6.956247028255147,-5.951155822845441,-5.2884833352984,-2.6676997208893,-1.3227615718129446,0.0,0.5500412229491769,2.0982253035354006,11.629911707335623,19.616270245330337,21.08208119642625,22.584022198353207,19.396851839140634,17.869456956472966,19.24518886443842,41.23441784806493,46.86483098596753,48.689994239020045,43.150698364147125,33.66736421902192,25.31582746789374,7.333829892937215,11.804459660604822,-1.6385524755023726,-11.054660276037483,-40.67186206912719
LP2,321161960.0,564,MarkoutsAtZero,-16.006805598327453,-6.341207875366502,-5.203725094452785,-5.083625258841185,-4.6570836729908205,-4.505820600486642,-5.2328108172712575,-3.875231629125113,-2.7715210655786553,0.0,1.3222904035500092,2.391018938160926,10.197184088059497,15.63391021232538,16.89980514380553,19.43529922719918,22.698056068190635,25.405343353227597,26.171993033691802,30.0164863815852,31.570421970011363,34.28137007593906,37.01623882449487,32.99905644107997,32.484589675678734,25.038727825141446,28.901122715293894,18.33853996972617,-5.637266436618651,-24.465836223908656
LP3,565515848.5,719,MarkoutsAtZero,13.551684287487989,11.13090139209388,12.311971021788972,7.7682239691995045,9.819214586259447,4.085587527644405,1.3932968986661023,0.9276585322770706,1.054930763216885,0.0,0.0911232416523914,-0.11087654030053773,2.1647333620402,5.425924207553739,4.526107913425663,3.368531772218893,0.9568998213049561,-2.042107544810178,-4.874270708259724,-0.9932523447172298,-2.87902079300453,3.600775008535591,7.957447010136087,0.3351116023909738,-2.638622120606739,-5.343484358838295,-14.011002268863782,-30.34732956255145,-38.74064010716768,-18.453117124989408
LP4,432112378.5,623,MarkoutsAtZero,-9.240421866899695,-2.781078507033561,-1.4681718657817309,0.4282366566400258,-3.238697939910718,-6.070937354383449,-5.2938835119962215,-4.4368718942904515,-0.9873435688401938,0.0,0.7436380684988319,1.5837159974615136,2.446432627809348,5.8495485991394505,9.43700693413172,14.954474120365255,16.054790952566254,16.58815986094281,20.317816802462325,24.326589678752256,32.15778575317814,36.744902429249144,41.42137883905521,42.53551629549131,41.285071459025446,43.68417920474714,53.62791599571136,49.72968174539375,47.75991455016797,43.22955034735287
