TradeQuantityUSD,MinDecay1m,AvgDecay1m,MaxDecay1m,TotalVolume
"0:[4675, 8393362]",-1159.689203293457,9.686021806777317,1635.3863169806805,4675.219999999999
"1:[8393362, 16782048]",-365.4735031708434,18.650243911353233,530.9975106835285,8399592.74
"2:[16782048, 25170735]",-279.9148380310257,20.017326213080985,330.02451610697483,16809841.4
"3:[25170735, 33559421]",-237.35030747651376,-8.977190112800795,102.11853408859106,25233693.875
"4:[33559421, 41948108]",-132.59706318891062,28.05947406284149,215.23150300450934,34133432.440000005
