SpreadPnLPM,MinSpread,MaxSpread,Count,TotalVolume
-10.0,-4.322623313472935,-1.5467455552190875e-10,14,289265.33999999997
0.0,-0.0,9.977950511022705,636,35333.1
10.0,10.016003347587091,19.98294788437802,584,1293.66
20.0,20.070832939542598,29.992844564231596,915,4675.219999999999
30.0,30.002357327891655,38.73883568302577,432,46000.0
40.0,41.60195251826949,48.697345994653375,7,522209.025
50.0,51.31362889979216,59.91206890345234,214,31616.730000000007
60.0,60.01423194663582,69.641762772137,254,53185.65
