,ArrivalTime,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
0,08:00:00,18,2499962204.805,-1.5581331508690675,0.3008433118921456,4.383930905947438
1,08:30:00,6,325901212.36,1.590248486346613,0.07987567377112252,5.031628312442032
2,09:00:00,6,590095993.05,-1.8167600900729144,-0.032947775067290616,4.33547381108543
3,09:30:00,7,636325835.9849999,4.456843249702967,-0.0039143925301410604,11.611865493971491
4,10:00:00,4,327137998.19000006,-3.604652445411037,-0.26939166390181263,0.5267734081176667
5,10:30:00,11,958264002.44,1.866000002820451,-0.1769485173532839,8.652433267191988
6,11:00:00,10,793894586.2449999,-0.401533817993666,-0.30480663767561306,5.429384127518461
7,11:30:00,10,979949916.7800001,-3.1764113877422555,1.8375194297919972,5.917517806375517
8,12:00:00,4,263167725.845,-10.418357681724641,2.0168720693670297,-4.984842820809186
9,12:30:00,6,487882308.735,-3.36264947488568,-0.41202005134433595,2.825126512981022
10,13:00:00,4,344195634.805,5.701313986468807,0.8330587244068308,11.186608596935065
11,13:30:00,8,581078945.0,0.24762800042741662,-0.518602569658818,6.297447424508965
12,14:00:00,7,591273834.24,1.4060108860697456,-0.04463218268356863,4.848926232462868
13,14:30:00,5,511627495.4749999,-1.7875097044014416,-1.1581451471549116,4.101282951638814
14,15:00:00,7,256205662.85,-0.2033667489706383,-0.6775269449991451,3.5188665368983867
15,15:30:00,3,283011904.68,2.9388816882022537,0.1645330288422705,7.582583445476392
16,16:00:00,17,1099516680.27,-0.7478466305425296,-0.192634944631902,3.455873480096406
17,16:30:00,8,1280495489.3149998,-0.07367698465707666,-0.6983769361730089,8.092362363521467
18,17:00:00,6,625208166.2,0.2736298146637908,-0.449054702616455,4.438985864596892
19,17:30:00,6,326075887.52,0.4857663521342479,-0.2032982427752686,3.9939806639780895
20,18:00:00,7,334245663.04,-0.15747055734562526,-0.39689265822940695,6.028049098939631
21,18:30:00,9,818718969.4599999,0.4982615015713796,-0.502886470029254,6.646180288148622
22,19:00:00,7,796647539.79,0.05037815705077092,-0.30759605055036293,7.946696732145124
23,19:30:00,17,1074948014.87,0.8140816862491407,-0.2584357295465723,5.492372155707122
24,20:00:00,1,45456000.0,0.22227379355626167,-0.05489982476403199,2.2172570084853125
25,TOTAL,194,16831287671.949999,-0.31618688597332983,-0.05326122551602359,5.628806605465226
