,TimeZoneArrive,TimeZoneEnd,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
0,London,London,131,11353175790.884998,-0.5948988187701634,0.1146326149265459,5.318228135059458
1,London,NewYork,10,1456811640.185,-0.12214959711340305,-0.5361897265287844,7.201982257674594
2,NewYork,Asia,1,45456000.0,0.22227379355626167,-0.05489982476403199,2.2172570084853125
3,NewYork,NewYork,52,3975844240.88,0.4024311848738356,-0.3557172238086597,5.978243525901381
4,TOTAL,TOTAL,194,16831287671.949999,-0.31618688597332983,-0.05326122551602359,5.628806605465226
