TimeZoneArrive,TimeZoneEnd,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
London,London,131,11353175791,-0.594898819,0.114632615,5.318228135
London,NewYork,10,1456811640,-0.122149597,-0.536189727,7.201982258
NewYork,Asia,1,45456000,0.222273794,-0.054899825,2.217257008
NewYork,NewYork,52,3975844241,0.402431185,-0.355717224,5.978243526
TOTAL,TOTAL,194,16831287672,-0.316186886,-0.053261226,5.628806605
