LP,HourArrive,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
LP1,12,1,146450539,-4.236148229,-0.014436509,0.476728992
LP1,13,1,117844897.5,-2.597843009,0.241415394,1.439236086
LP2,12,2,86374507.03,-16.59376515,-0.700880329,-14.56946987
LP2,13,1,81148016.8,-2.765390569,0.205303943,1.819276106
LP3,12,3,200913658.8,-8.822372236,2.201585919,-5.278723502
