TradeQuantityUSD,MinMid0,AvgMid0,MaxMid0,TotalVolume
"[4675.219999999999, 8393361.74125]",1.15554,1.1653132831325304,1.178825,4675.219999999999
"[8393361.74125, 16782048.2625]",1.155695,1.1664648952879582,1.1781000000000001,8399592.74
"[16782048.2625, 25170734.783749998]",1.15795,1.165261574074074,1.1789299999999998,16809841.4
"[25170734.783749998, 33559421.305]",1.158175,1.164906875,1.175125,25233693.875
"[33559421.305, 41948107.82625]",1.1596600000000001,1.1649025000000002,1.1694550000000001,34133432.440000005
"[41948107.82625, 50336794.3475]",1.1790349999999998,1.1790349999999998,1.1790349999999998,47122491.84499999
"[50336794.3475, 58725480.86875]",1.17795,1.178365,1.1787800000000002,51733208.1
"[58725480.86875, 67114167.39]",1.17869,1.1788,1.1789100000000001,58791878.51
