LP,Symbol,MinSpread,MaxSpread,Count,TotalVolume
LP1,EURUSD,-9.400439940442071,569.4892653588776,132,97480881.5
LP1,Other,-16.053039241581367,625.2791424742759,211,189455319.5
Other,EURUSD,-80.16939321190725,662.0891459050214,1399,1089759507.0
Other,Other,-169.6275071633519,998.7735389564084,2600,1973473480.5
