Symbol,Side,TradeQuantityUSD,SpreadPnLPM,DecayPM1s,ExecVenue,LP,Mid0,Price,TotalVolume,AvgPrice
EURUSD,B,63195774.0,4.76297671423964,9.478481899748258,,,1.0730269040065876,1.073294259133316,63195774.0,1.0731783544303797
EURUSD,S,75233093.0,8.134718055522475,-0.4785128268154205,,,1.077955183138157,1.0773157926157675,75233093.0,1.0762847142857142
USDJPY,B,38500000.0,-3.760292118774123,11.238862935142386,,,111.00978701298702,111.06032191780822,38500000.0,111.04765217391306
USDJPY,S,37300000.0,2.1698529885833615,6.083260585154925,,,110.94048659517426,110.98788888888889,37300000.0,110.97496000000001
