Symbol,Account,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
USDCAD,Algo,5,332581000,-1.594238245,-0.556396029,4.656108137
USDCHF,Algo,5,370501000,-1.515985001,-0.464028028,8.315354278
USDJPY,Algo,44,4834194000,0.223686319,-0.165697088,5.339324317
USDNOK,Algo,1,44283000,-1.829901505,0.440521545,6.691160811
USDSEK,Algo,4,231149000,-1.141445929,-0.077700599,10.50098719
