LP,Symbol,MinSpread,MaxSpread,Count,TotalVolume
LP1,EURUSD,-4.322623313472935,68.74860354405926,446,2954482285.5300007
LP1,Other,-3.416035554170994,69.34428048373806,668,3685282100.19
Other,EURUSD,-1.9206515489713719e-10,69.21612735755146,1005,5261427997.289999
Other,Other,-0.35636807487913824,69.641762772137,1365,6051974930.3150015
