Time,Mid,Symbol
2018-09-21 16:30:13,1.17414,EURUSD
2018-09-21 16:30:14,1.17413,EURUSD
2018-09-21 16:30:19,1.17407,EURUSD
2018-09-21 16:30:21,1.1740650000000001,EURUSD
2018-09-21 16:30:25,1.17413,EURUSD
2018-09-21 16:30:26,1.17414,EURUSD
2018-09-21 16:30:27,1.174145,EURUSD
2018-09-21 16:30:28,1.17413,EURUSD
2018-09-21 16:30:33,1.17421,EURUSD
2018-09-21 16:30:34,1.174175,EURUSD
2018-09-21 16:30:35,1.17416,EURUSD
2018-09-21 16:30:36,1.174145,EURUSD
2018-09-21 16:30:38,1.17418,EURUSD
2018-09-21 16:30:39,1.174215,EURUSD
2018-09-21 16:30:40,1.174215,EURUSD
2018-09-21 16:30:44,1.17418,EURUSD
2018-09-21 16:30:50,1.17416,EURUSD
2018-09-21 16:30:53,1.174115,EURUSD
2018-09-21 16:30:54,1.174115,EURUSD
2018-09-21 16:30:55,1.17416,EURUSD
2018-09-21 16:31:01,1.1741700000000002,EURUSD
2018-09-21 16:31:03,1.17416,EURUSD
2018-09-21 16:31:04,1.1741700000000002,EURUSD
2018-09-21 16:31:06,1.174215,EURUSD
2018-09-21 16:31:08,1.17421,EURUSD
2018-09-21 16:31:16,1.17422,EURUSD
2018-09-21 16:31:18,1.17423,EURUSD
2018-09-21 16:31:26,1.17427,EURUSD
2018-09-21 16:31:29,1.1742650000000001,EURUSD
2018-09-21 16:31:30,1.1742650000000001,EURUSD
2018-09-21 16:31:33,1.174315,EURUSD
2018-09-21 16:31:34,1.1743649999999999,EURUSD
2018-09-21 16:31:35,1.1743649999999999,EURUSD
2018-09-21 16:31:36,1.17436,EURUSD
2018-09-21 16:31:39,1.17434,EURUSD
2018-09-21 16:31:40,1.174355,EURUSD
2018-09-21 16:31:44,1.1743350000000001,EURUSD
2018-09-21 16:31:52,1.17434,EURUSD
2018-09-21 16:31:56,1.1743100000000002,EURUSD
2018-09-21 16:31:58,1.17435,EURUSD
2018-09-21 16:31:59,1.1743700000000001,EURUSD
2018-09-21 16:32:00,1.1743800000000002,EURUSD
2018-09-21 16:32:03,1.174415,EURUSD
2018-09-21 16:32:04,1.174415,EURUSD
2018-09-21 16:32:05,1.17442,EURUSD
2018-09-21 16:32:06,1.1744400000000002,EURUSD
2018-09-21 16:32:07,1.17445,EURUSD
2018-09-21 16:32:08,1.174435,EURUSD
2018-09-21 16:32:09,1.17445,EURUSD
2018-09-21 16:32:10,1.174465,EURUSD
2018-09-21 16:32:12,1.17445,EURUSD
2018-09-21 16:32:13,1.174435,EURUSD
2018-09-21 16:32:15,1.1744150000000002,EURUSD
2018-09-21 16:32:16,1.17441,EURUSD
2018-09-21 16:32:20,1.1743700000000001,EURUSD
2018-09-21 16:32:21,1.174385,EURUSD
2018-09-21 16:32:22,1.17442,EURUSD
2018-09-21 16:32:25,1.1744400000000002,EURUSD
2018-09-21 16:32:26,1.1744599999999998,EURUSD
2018-09-21 16:32:27,1.174455,EURUSD
2018-09-21 16:32:29,1.174465,EURUSD
2018-09-21 16:32:32,1.1744750000000002,EURUSD
2018-09-21 16:32:33,1.174505,EURUSD
2018-09-21 16:32:34,1.17449,EURUSD
2018-09-21 16:32:35,1.174485,EURUSD
2018-09-21 16:32:36,1.174465,EURUSD
2018-09-21 16:32:39,1.174455,EURUSD
2018-09-21 16:32:40,1.1744400000000002,EURUSD
2018-09-21 16:32:41,1.1744599999999998,EURUSD
2018-09-21 16:32:44,1.17445,EURUSD
2018-09-21 16:32:49,1.17445,EURUSD
2018-09-21 16:32:50,1.1744400000000002,EURUSD
2018-09-21 16:32:51,1.17441,EURUSD
2018-09-21 16:32:55,1.17445,EURUSD
2018-09-21 16:32:58,1.17447,EURUSD
2018-09-21 16:32:59,1.1744599999999998,EURUSD
2018-09-21 16:33:02,1.17447,EURUSD
2018-09-21 16:33:03,1.1744599999999998,EURUSD
2018-09-21 16:33:04,1.174445,EURUSD
2018-09-21 16:33:05,1.17447,EURUSD
2018-09-21 16:33:06,1.17452,EURUSD
2018-09-21 16:33:08,1.174495,EURUSD
2018-09-21 16:33:09,1.17447,EURUSD
2018-09-21 16:33:10,1.1744599999999998,EURUSD
2018-09-21 16:33:11,1.1744599999999998,EURUSD
2018-09-21 16:33:12,1.174465,EURUSD
2018-09-21 16:33:13,1.17447,EURUSD
2018-09-21 16:33:14,1.174465,EURUSD
2018-09-21 16:33:15,1.17447,EURUSD
2018-09-21 16:33:17,1.174465,EURUSD
2018-09-21 16:33:21,1.174465,EURUSD
2018-09-21 16:33:22,1.17445,EURUSD
2018-09-21 16:33:23,1.17442,EURUSD
2018-09-21 16:33:24,1.17447,EURUSD
2018-09-21 16:33:25,1.1744750000000002,EURUSD
2018-09-21 16:33:26,1.17447,EURUSD
2018-09-21 16:33:27,1.174515,EURUSD
2018-09-21 16:33:29,1.174505,EURUSD
2018-09-21 16:33:30,1.17448,EURUSD
2018-09-21 16:33:31,1.17448,EURUSD
2018-09-21 16:33:33,1.1745,EURUSD
2018-09-21 16:33:34,1.17456,EURUSD
2018-09-21 16:33:35,1.17456,EURUSD
2018-09-21 16:33:37,1.1745100000000002,EURUSD
2018-09-21 16:33:38,1.17452,EURUSD
2018-09-21 16:33:40,1.174525,EURUSD
2018-09-21 16:33:42,1.17452,EURUSD
2018-09-21 16:33:43,1.174525,EURUSD
2018-09-21 16:33:45,1.1744949999999998,EURUSD
2018-09-21 16:33:46,1.1745,EURUSD
2018-09-21 16:33:47,1.174515,EURUSD
2018-09-21 16:33:51,1.1745,EURUSD
2018-09-21 16:33:52,1.1744750000000002,EURUSD
2018-09-21 16:33:53,1.17447,EURUSD
2018-09-21 16:33:58,1.174465,EURUSD
2018-09-21 16:34:00,1.17447,EURUSD
2018-09-21 16:34:01,1.174465,EURUSD
2018-09-21 16:34:02,1.17447,EURUSD
2018-09-21 16:34:04,1.17447,EURUSD
2018-09-21 16:34:08,1.17447,EURUSD
2018-09-21 16:34:09,1.174465,EURUSD
2018-09-21 16:34:12,1.17445,EURUSD
2018-09-21 16:34:14,1.174465,EURUSD
2018-09-21 16:34:15,1.1744599999999998,EURUSD
2018-09-21 16:34:16,1.1744400000000002,EURUSD
2018-09-21 16:34:17,1.174445,EURUSD
2018-09-21 16:34:20,1.17445,EURUSD
2018-09-21 16:34:31,1.174515,EURUSD
2018-09-21 16:34:32,1.1745,EURUSD
2018-09-21 16:34:34,1.17449,EURUSD
2018-09-21 16:34:35,1.1744949999999998,EURUSD
2018-09-21 16:34:36,1.17449,EURUSD
2018-09-21 16:34:37,1.174465,EURUSD
2018-09-21 16:34:38,1.1744400000000002,EURUSD
2018-09-21 16:34:39,1.174445,EURUSD
2018-09-21 16:34:41,1.174375,EURUSD
2018-09-21 16:34:42,1.1743700000000001,EURUSD
2018-09-21 16:34:50,1.17432,EURUSD
2018-09-21 16:34:51,1.174315,EURUSD
2018-09-21 16:34:57,1.1743199999999998,EURUSD
2018-09-21 16:35:00,1.1743700000000001,EURUSD
2018-09-21 16:35:03,1.1744050000000001,EURUSD
2018-09-21 16:35:04,1.174395,EURUSD
2018-09-21 16:35:05,1.174375,EURUSD
2018-09-21 16:35:06,1.1743700000000001,EURUSD
2018-09-21 16:35:10,1.174375,EURUSD
2018-09-21 16:35:14,1.1743700000000001,EURUSD
2018-09-21 16:35:17,1.174375,EURUSD
2018-09-21 16:35:18,1.1743700000000001,EURUSD
2018-09-21 16:35:20,1.174375,EURUSD
