LP,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
LP1,3,400634609.6,-2.702134015,0.012733845,1.82390769
LP2,4,610589344.9,4.031859888,0.065971068,11.32503742
LP3,5,783807421.6,-0.594915127,0.541716164,5.719184794
TOTAL,12,1795031376,0.50859467,0.26182495,6.756654714
