,LP,NumRuns,TradeQuantityUSD,OrderQuantityUSD,Duration,AssumedRisk,TradeIntensity,SpreadPaidBPSChildOrders,ArrivalMidPerfBPS,ArrivalMidPerfBPSStdDev,ArrivalMidPerfTradeBPS,ArrivalMidPerfRemainBPS,TWAPMidPerfBPS,TWAPMidPerfBPSStdDev,RiskTransferCostBPS,RiskTransferPricePerfBPS,RiskTransferPricePerfBPSStdDev,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPSStdDev,ArrivalMidPerfTradeNetBPS,ArrivalMidPerfRemainNetBPS,TWAPMidPerfNetBPS,TWAPMidPerfNetBPSStdDev,RiskTransferPricePerfNetBPS,RiskTransferPricePerfNetBPSStdDev,ExecutionScore,ReversalScore,RiskTransferPricePerfIR,RiskTransferPricePerfNetIR
0,LP1,18,1715342318.9,3213469750.0,1918.5268379619608,4.949079610194337,35.50825004707998,0.2373844979392818,-1.2721500845233022,2.906285130006307,-2.0682502000878276,-0.5217274896249063,-0.4975214828437865,0.7457079608663949,4.529067642595752,3.2569175580724505,3.3731170910674413,-1.2721500845233022,2.906285130006307,-2.0682502000878276,-0.5217274896249063,-0.6148891631444598,0.9805514339523874,3.2569175580724505,3.3731170910674413,37.85419290801458,36.35688233828944,0.9655512898432415,0.9655512898432415
1,LP2,32,2717062378.625,5533393750.0,1777.0575228399778,4.841448604685488,140.8310528003749,0.2649467939072993,0.40558083038876774,4.961140424691957,0.2570672927312897,0.5798036778456995,-0.14643447018213643,0.5847589160162263,5.456420564220714,5.862001394609482,6.738607399015712,0.40558083038876774,4.961140424691957,0.2570672927312897,0.5798036778456995,-0.10837354162892868,0.6432643897805812,5.862001394609482,6.738607399015712,39.70285099186201,48.13113504679451,0.8699128837014198,0.8699128837014198
2,LP3,25,2129669755.55,4203720250.0,1310.9830450210293,4.120410557924662,125.84547257332041,0.24940180818777924,-0.14665224094581625,5.797291031947582,0.3548123768675789,-0.8405433218397468,0.01865414366635176,0.9987694734249682,4.468539221207534,4.321886980261718,7.192598931467156,-0.14665224094581625,5.797291031947582,0.3548123768675789,-0.8405433218397468,0.020918525377020054,0.9978601233964104,4.321886980261718,7.192598931467156,40.43759067365227,40.96090374233329,0.6008797406113862,0.6008797406113862
3,TOTAL,75,6562074453.075,12950583750.0,1662.7771345949432,4.635576374513026,108.4359620090482,0.2526969392017287,-0.2122050446574298,4.874376896619224,-0.319053989937297,-0.16910173459792946,-0.1846312605916776,0.8064088334696577,4.893399105728293,4.681194061070864,6.301997464923903,-0.2122050446574298,4.874376896619224,-0.319053989937297,-0.16910173459792946,-0.19881723901128595,0.9000721246474473,4.681194061070864,6.301997464923903,39.458061241703625,42.72627429013079,0.7428111621951263,0.7428111621951263
