TradeQuantityUSD,MinSpread,MaxSpread,Count,TotalVolume
0,-4.322623313472935,69.641762772137,2645,1293.66
1,-1.9206515489713719e-10,69.34428048373806,329,11261318.705
2,-0.0,68.61239997586384,54,22858841.850000005
3,-0.0,38.49592157084808,15,34133432.440000005
4,25.450041568379586,34.79081058711481,7,47122491.84499999
