,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfNetBPS
,count,mean,std,min,25%,50%,75%,max
LP,,,,,,,,
LP1,59.0,-0.9257616488365835,4.159012130004856,-16.880007052113807,-2.3554862038423643,-0.4470447222109034,1.2454153156836167,8.406149462661018
LP2,67.0,0.0958084652758265,4.768971387417114,-19.82239291079807,-1.0549522840713088,0.052254706922473415,1.5538396181307572,16.761492000098333
LP3,68.0,0.43692399389996756,4.307111588619658,-15.071354478048052,-0.8150057252398016,-0.22385857659581798,1.79002033279163,17.195355534215302
