Date,CreatedBy,CreatedFor,LP,MarketShare
2017-02-01,,,LP1masked,6.904769922619051
2017-02-02,,,LP1masked,5.386734748574526
2017-02-03,,,LP1masked,2.4253065341882274
2017-02-06,,,LP1masked,3.033364997386887
2017-02-07,,,LP1masked,5.166254869620674
