SpreadPnLPM,MinSpread,MaxSpread,Count,TotalVolume
-0.6244040091924381,-4.322623313472935,3.0099816303339284,87,182507.9
6.772034599368555,3.138661585000856,10.42181633541931,584,35333.1
14.16847320792955,10.470259048639026,17.62216476739555,507,1293.66
21.564911816490543,17.9763739084945,25.21479686843762,408,18000.0
28.961350425051535,25.29342592793711,32.642857464156656,822,4675.219999999999
36.357789033612534,32.663305402028584,38.73883568302577,173,75000.0
43.754227642173525,41.60195251826949,42.96455424303121,3,2603308.7499999995
51.15066625073452,48.055469742226684,54.525332685425276,28,292763.88999999996
58.547104859295516,54.91638979658969,62.174114513657585,330,31616.730000000007
65.9435434678565,62.26437164253421,69.641762772137,114,53185.65
