LP,TradeQuantityUSD,Symbol,Side,Price,NumLPs,SecondBestPrice,BestBid,BestAsk,TotalVolume
LP_1,7519577304.247055,,,,,,,,7519577304.247055
LP_2,8432752169.954396,,,,,,,,8432752169.954396
LP_3,6132318120.422464,,,,,,,,6132318120.422464
LP_4,3537130033.2865343,,,,,,,,3537130033.2865343
LP_5,4833671042.96977,,,,,,,,4833671042.96977
LP_6,2825397486.274563,,,,,,,,2825397486.274563
LP_7,1928011567.9662783,,,,,,,,1928011567.9662783
LP_8,848106869.8574605,,,,,,,,848106869.8574605
