Time,LP1masked,LP2masked,LP3masked,LP4masked,LP5masked,LP6masked,TRADEFEEDR
-5s,90.68321282,14.75032619,23.14703434,12.99643382,19.84990427,18.26681597,40.02037376
-1s,85.31781655,17.27431879,26.01020863,15.03177475,14.51825201,16.70502879,37.79018076
0,82.67069125,19.42146574,31.60607565,15.68802382,11.89515196,18.07585224,38.77908806
5s,52.04973228,6.476534326,37.15081981,-9.930436064,4.477551391,10.88464766,11.23100502
10s,36.2110807,1.007664767,36.05696791,-0.589519116,7.454308597,3.618819817,-2.688461693
30s,43.62637602,13.67199482,29.65971468,-5.20838808,10.05530122,5.737486161,12.39448825
1m,46.09337662,33.1550267,33.96462895,8.690372834,36.47513736,22.30058461,41.56413933
3m,24.89787177,-10.49985112,29.81524055,9.433607753,-11.53875639,-7.544987872,-11.56642439
5m,23.40412285,49.6046209,67.5602441,-8.787144818,11.66225021,8.557086731,-11.93659675
