LP,Symbol,OrderStatus,TradeQuantityUSD,SpreadPnLPM,DecayPM1s,DecayPM5s,DecayPM30s,DecayPM1m,DecayPM5m
LP1masked,USDCAD,F,11700000.0,38.02667374752621,36.753216562394805,48.54448661018884,78.77775723385535,73.38152586672206,44.900845566662404
LP1masked,USDCHF,F,2800000.0,24.74038576578406,-13.804681771883192,-16.500777114319963,-36.0862935831961,-56.5516134593626,-59.17023205220806
LP1masked,USDJPY,F,45400000.0,40.18335364116039,23.098254699812298,36.244968025265436,33.383378595507025,34.83236144700382,117.09606326001968
LP1masked,USDJPY,R,1900000.0,50.78210929195602,91.6097410979971,55.670399761895,-15.070353781530455,153.91458401635637,56.24416911084583
LP1masked,USDNOK,F,4000000.0,131.663507146785,33.804519498387144,37.790585393077116,-5.61117029926339,-45.90781566093938,-99.63644581670317
LP1masked,USDTRY,F,1400000.0,407.97088071535296,0.0,0.0,9.926338031635801,9.538170390621659,49.892297869716785
LP1masked,USDZAR,F,1900000.0,208.7615128599404,15.218638633822316,15.218638633822316,15.218638633822316,1.4520676980939464,-140.24952284522197
LP2masked,USDCAD,F,9000000.0,19.978330050119247,15.351160960841437,16.44649362233272,18.79669497748538,7.51394589999511,-61.912600485649875
LP2masked,USDCHF,F,1300000.0,28.97756056191562,14.657812232105478,86.11721665463534,57.547388608303336,66.77562007541592,111.23673706657189
LP2masked,USDJPY,F,85200000.0,24.416912214984862,12.425730704957337,15.881169176101332,28.135070941610774,29.998132386916424,12.591807941272016
LP2masked,USDJPY,R,10700000.0,23.28433637345148,68.10155915809216,100.55160203299211,114.07356516381046,173.39239098802355,-222.75823508115027
LP2masked,USDZAR,F,1000000.0,11.58251966130013,0.0,0.0,-42.469238758169325,-270.2587920975219,-380.678812869073
LP3masked,USDCAD,F,25800000.0,13.816027774291445,2.0578103979487583,20.245962660544865,17.24815301160971,37.5161048429127,70.26494336979606
LP3masked,USDCAD,R,3200000.0,33.013326833476285,50.83861967789677,15.979539824600984,47.24613948068473,24.06232643797912,-1.0210020232465071
LP3masked,USDCHF,F,4300000.0,7.342365241977605,11.324730714725057,28.575561301293238,33.20959803392774,7.5068494978836835,14.679041766626998
LP3masked,USDJPY,F,119000000.0,11.184245651090395,1.534832822491316,11.041673369397364,23.48776025293288,39.986926417679335,69.16082188434112
LP3masked,USDJPY,R,35800000.0,28.334144586862287,51.087949359358916,31.672337974264927,5.898658565601956,-20.46416243885254,-79.27558768361624
LP3masked,USDNOK,F,4500000.0,86.71081730813717,0.7269710115245481,-0.49949787069477347,8.709204115652112,-71.58035292592008,190.96446997863342
LP3masked,USDSEK,F,600000.0,211.06202677267484,-3.9609495638970316,-0.5658499375726933,-17.541348069638474,-27.160797011038795,-342.33921232562636
LP3masked,USDSGD,F,1000000.0,53.157747387330204,17.719249129077852,46.070047735602415,38.98234808419332,74.42084634212698,35.438498258155704
LP3masked,USDTRY,F,800000.0,140.89798985528628,110.50822733760236,96.6946989203743,29.008409676123392,49.728702301909955,-185.10128079030073
LP4masked,USDCAD,F,16600000.0,20.216737584811938,13.18757841317898,12.681141840625921,41.096222243595854,5.509983360514101,-30.683277067905987
LP4masked,USDCHF,F,9400000.0,17.982289190404227,16.432447806948762,54.49486967940718,52.09939956621394,17.917792481780815,90.76343739247173
LP4masked,USDJPY,F,75900000.0,14.827378668632916,6.180892915816796,12.868992535450934,32.38942393080105,50.48820954302492,123.5039911775944
LP4masked,USDJPY,R,300000.0,-25.144406302184642,71.12976291549315,118.5496048592416,148.0053646073139,84.47449091723382,174.54476896431686
LP5masked,USDCAD,F,19800000.0,21.50963581788782,10.098991108075431,20.79545572140612,31.28132890088324,25.906816623042815,2.3604093205065686
LP5masked,USDCHF,F,13300000.0,25.698917926325564,2.0019675682611147,31.492097759021977,8.652735787340387,-18.17882012080446,32.75438520382657
LP5masked,USDJPY,F,202300000.0,21.19270838012266,11.766130975859943,15.111143136314512,8.863542861946447,9.954646473767,-44.42942650350768
LP5masked,USDNOK,F,3000000.0,36.21514662793974,-6.033376946268376,-3.102170256896741,-3.2357168587478684,-26.81315169609603,382.71521141588124
LP5masked,USDTRY,F,1400000.0,114.02864718589757,13.01513523788156,231.32006786913402,470.88163020186926,81.44619717775915,-307.98923584629546
LP5masked,USDZAR,F,1600000.0,787.4117381442861,-9.020562075079397e-11,7.946567767397328,867.7652001948811,844.7454415397848,1055.0843105071317
LP6masked,USDCAD,F,12100000.0,40.10757635686738,7.319940828278124,23.60717943608569,-22.906324258312793,-51.52242919910545,-141.36004499188573
LP6masked,USDCAD,R,2100000.0,27.355485806089707,61.291727300394875,23.186412630813553,37.75576855944534,24.57953474164326,-14.668146277448578
LP6masked,USDCHF,F,8400000.0,32.60872418707625,5.677759115555035,17.140233462605213,8.222776242848632,12.202508188197388,1.1131435578835116
LP6masked,USDHUF,F,1000000.0,271.3364363090987,0.0,17.39336130179847,34.786722603707965,-60.87676455646118,-231.33170531486337
LP6masked,USDJPY,F,91900000.0,17.154269264861355,5.995377732281882,12.017041214362537,-0.7192586822499746,2.0114329727595566,21.24876604838928
LP6masked,USDJPY,R,33100000.0,11.966610769976525,34.77572124412332,18.998252500883424,38.37421059441213,-30.061162717248695,-57.110796865284264
LP6masked,USDNOK,F,1000000.0,118.10349409180725,21.25862893653796,26.57328617061694,-27.75432111157272,-72.63364886644919,-125.18970373720518
LP6masked,USDSEK,F,500000.0,211.0620267726748,-3.9609495638970316,-0.5658499375726933,-17.541348069638474,-27.160797011038795,-342.33921232562636
