,Symbol,Account,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
0,USDCAD,Algo,5,332581000.0,-1.5942382452485957,-0.5563960290325561,4.6561081371059725
1,USDCHF,Algo,5,370501000.0,-1.515985001448896,-0.4640280284895077,8.315354277860338
2,USDJPY,Algo,44,4834194000.0,0.22368631901039035,-0.16569708842090863,5.339324316607634
3,USDNOK,Algo,1,44283000.0,-1.8299015048535427,0.44052154528184667,6.691160811465987
4,USDSEK,Algo,4,231149000.0,-1.1414459290186485,-0.07770059918955174,10.50098718604762
5,TOTAL,TOTAL,59,5812708000.0,-0.061145658961173736,-0.19894931367432236,5.705483074726783
