,Symbol,LP,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
0,AUDCAD,LP1,1,18168047.029999997,0.6565348063663154,-1.1809889135028229,4.875100327565112
1,AUDCHF,LP1,1,16715979.825,2.3569495618036087,-0.9760123882507354,6.528047443222462
2,AUDUSD,LP1,10,399592357.12,-0.7828380979635119,-0.6817048761000429,5.780634564892372
3,AUDUSD,LP2,7,270578971.16499996,1.6626240914730561,-0.1695064064182182,8.150372961784305
4,NZDUSD,LP2,1,29972002.5,16.761492000098333,0.2616870733929133,21.094703946346556
5,USDCAD,LP1,2,148856000.0,-2.126479136449567,-0.623416504937559,4.130674783138203
6,USDCAD,LP2,1,45619000.0,-0.7434795291336209,-0.5025290129656579,3.5730380404304887
7,USDCHF,LP2,1,130812000.0,-0.44859128048700136,-0.5935610764296051,12.14077921989222
8,USDSEK,LP1,2,109847000.0,0.05940675150783849,-0.008921667524799599,11.064060272671357
9,USDSEK,LP2,1,52523000.0,-6.269889497385582,-0.28360633752555486,1.3482534320862616
10,TOTAL,TOTAL,27,1222684357.6399999,-0.03366992793311115,-0.45591640040013914,7.35869650217541
