LP,count,mean,std,min,25%,50%,75%,max
LP1,59,-0.925761649,4.15901213,-16.88000705,-2.355486204,-0.447044722,1.245415316,8.406149463
LP2,67,0.095808465,4.768971387,-19.82239291,-1.054952284,0.052254707,1.553839618,16.761492
LP3,68,0.436923994,4.307111589,-15.07135448,-0.815005725,-0.223858577,1.790020333,17.19535553
