Time,Mid,LimitPrice,IsActive,SlippageToArrivalMidPM,SlippageToArrivalMidPMUser,SlippageToArrivalMidPMBank,TradeQuantityRemainUSD
2018-09-21 16:36:24,1.17434,,Active,0.0,0.0,0.0,587170000.0
2018-09-21 16:36:25,1.1743299999999999,,Active,-8.51542142826227,0.0,-8.51542142826227,
2018-09-21 16:36:26,1.1743199999999998,,Active,-17.03084285652454,0.0,-17.03084285652454,
2018-09-21 16:36:37,1.174375,,Active,29.803974998728865,0.0,29.803974998728865,
2018-09-21 16:36:38,1.1743700000000001,,Active,25.546264284786808,0.0,25.546264284786808,
2018-09-21 16:36:40,1.174375,,Active,29.803974998728865,0.0,29.803974998728865,
2018-09-21 16:36:42,1.174375,,Active,29.803974998728865,0.0,29.803974998728865,
2018-09-21 16:36:43,1.1743350000000001,,Active,-4.257710713942051,0.0,-4.257710713942051,
2018-09-21 16:36:45,1.1743299999999999,,Active,-8.515421428262265,0.0,-8.515421428262265,
2018-09-21 16:36:46,1.17431,,Active,-25.54626428459772,0.0,-25.54626428459772,
2018-09-21 16:36:47,1.174315,,Active,-21.288553570466586,0.0,-21.288553570466586,
2018-09-21 16:36:50,1.1743100000000002,,Active,-25.54626428440864,0.0,-25.54626428440864,
2018-09-21 16:36:52,1.1743100000000002,,Active,-25.155580690291465,0.0,-25.155580690291465,574049434.37
2018-09-21 16:36:53,1.174315,,Active,-21.093211773403663,0.0,-21.093211773403663,
2018-09-21 16:37:04,1.1743100000000002,,Active,-25.155580690291465,0.0,-25.155580690291465,
2018-09-21 16:37:11,1.1743549999999998,,Active,11.405739562781207,0.0,11.405739562781207,
2018-09-21 16:37:12,1.1743649999999999,,Active,19.53047739691763,0.0,19.53047739691763,
2018-09-21 16:37:15,1.1743700000000001,,Active,23.59284631416624,0.0,23.59284631416624,
2018-09-21 16:37:21,1.1743100000000002,,Active,-25.155580690291465,0.0,-25.155580690291465,
2018-09-21 16:37:22,1.1743100000000002,,Active,-25.155580690291465,0.0,-25.155580690291465,
2018-09-21 16:37:23,1.17427,,Active,-57.65453202683715,0.0,-57.65453202683715,
2018-09-21 16:37:24,1.1742599999999999,,Active,-65.77926986097357,0.0,-65.77926986097357,
2018-09-21 16:37:29,1.17427,,Active,-57.65453202683715,0.0,-57.65453202683715,
2018-09-21 16:37:37,1.1742650000000001,,Active,-61.71690094372496,0.0,-61.71690094372496,
2018-09-21 16:37:42,1.1743299999999999,,Active,-8.906105022379437,0.0,-8.906105022379437,
2018-09-21 16:37:43,1.1743199999999998,,Active,-17.030842856515857,0.0,-17.030842856515857,
2018-09-21 16:37:52,1.1743299999999999,,Active,-8.906105022379437,0.0,-8.906105022379437,
2018-09-21 16:37:53,1.174305,,Active,-29.21794960754008,0.0,-29.21794960754008,
2018-09-21 16:37:54,1.17428,,Active,-49.52979419270073,0.0,-49.52979419270073,
2018-09-21 16:37:55,1.174325,,Active,-12.968473939267241,0.0,-12.968473939267241,
2018-09-21 16:37:56,1.1743700000000001,,Active,23.59284631416624,0.0,23.59284631416624,
2018-09-21 16:37:57,1.1743700000000001,,Active,23.59284631416624,0.0,23.59284631416624,
2018-09-21 16:38:00,1.1743649999999999,,Active,19.53047739691763,0.0,19.53047739691763,
2018-09-21 16:38:02,1.17436,,Active,15.468108480029825,0.0,15.468108480029825,
2018-09-21 16:38:03,1.17434,,Active,-0.7813671882430172,0.0,-0.7813671882430172,
2018-09-21 16:38:04,1.1743450000000002,,Active,3.281001729005599,0.0,3.281001729005599,
2018-09-21 16:38:05,1.1743450000000002,,Active,3.281001729005598,0.0,3.281001729005598,
2018-09-21 16:38:06,1.1743350000000001,,Active,-4.843736105130822,0.0,-4.843736105130822,
2018-09-21 16:38:07,1.174315,,Active,-21.093211773403663,0.0,-21.093211773403663,
2018-09-21 16:38:11,1.1743199999999998,,Active,-17.030842856515857,0.0,-17.030842856515857,
2018-09-21 16:38:12,1.174315,,Active,-21.093211773403663,0.0,-21.093211773403663,
2018-09-21 16:38:13,1.1743100000000002,,Active,-25.155580690291465,0.0,-25.155580690291465,
2018-09-21 16:38:14,1.1743299999999999,,Active,-8.906105022379437,0.0,-8.906105022379437,
2018-09-21 16:38:15,1.17436,,Active,15.468108480029825,0.0,15.468108480029825,
2018-09-21 16:38:30,1.17441,,Active,56.09179765035111,0.0,56.09179765035111,
2018-09-21 16:38:32,1.17442,,Active,64.21653548448754,0.0,64.21653548448754,
2018-09-21 16:38:34,1.1744150000000002,,Active,60.154166567599724,0.0,60.154166567599724,
2018-09-21 16:38:35,1.1743999999999999,,Active,47.96705981621469,0.0,47.96705981621469,
2018-09-21 16:38:43,1.17436,,Active,15.468108480029825,0.0,15.468108480029825,
2018-09-21 16:38:45,1.17435,,Active,7.343370645893403,0.0,7.343370645893403,
2018-09-21 16:38:46,1.17434,,Active,-0.7813671882430172,0.0,-0.7813671882430172,
2018-09-21 16:38:49,1.17435,,Active,7.343370645893403,0.0,7.343370645893403,
2018-09-21 16:38:54,1.1743899999999998,,Active,39.84232198207827,0.0,39.84232198207827,
2018-09-21 16:38:55,1.1743999999999999,,Active,47.96705981621469,0.0,47.96705981621469,
2018-09-21 16:38:57,1.1743800000000002,,Active,31.717584148302667,0.0,31.717584148302667,
2018-09-21 16:39:00,1.1743899999999998,,Active,39.84232198207827,0.0,39.84232198207827,
2018-09-21 16:39:02,1.1743999999999999,,Active,47.96705981621469,0.0,47.96705981621469,
2018-09-21 16:39:04,1.17436,,Active,15.468108480029825,0.0,15.468108480029825,
