,LP,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS,RiskTransferPricePerfBPSStdDev,RiskTransferPricePerfIR
0,LP1,18,1715342318.9,-1.2721500845233022,-0.4975214828437865,3.2569175580724505,3.3731170910674413,0.9655512898432415
1,LP2,32,2717062378.625,0.40558083038876774,-0.14643447018213643,5.862001394609482,6.738607399015712,0.8699128837014198
2,LP3,25,2129669755.55,-0.14665224094581625,0.01865414366635176,4.321886980261718,7.192598931467156,0.6008797406113862
3,TOTAL,75,6562074453.075,-0.2122050446574298,-0.1846312605916776,4.681194061070864,6.301997464923903,0.7428111621951263
