Symbol,LP,NumRuns,TradeQuantityUSD,ArrivalMidPerfBPS,TWAPMidPerfBPS,RiskTransferPricePerfBPS
AUDCAD,LP1,1,18168047.03,0.656534806,-1.180988914,4.875100328
AUDCHF,LP1,1,16715979.83,2.356949562,-0.976012388,6.528047443
AUDUSD,LP1,10,399592357.1,-0.782838098,-0.681704876,5.780634565
AUDUSD,LP2,7,270578971.2,1.662624091,-0.169506406,8.150372962
NZDUSD,LP2,1,29972002.5,16.761492,0.261687073,21.09470395
