,LP,NumRuns,TradeQuantityUSD,OrderQuantityUSD,Duration,AssumedRisk,TradeIntensity,SpreadPaidPMChildOrders,SlippageToArrivalMidPM,SlippageToArrivalMidPMStdDev,SlippageToArrivalMidTradePM,SlippageToArrivalMidRemainPM,SlippageToTWAPMidPM,SlippageToTWAPMidPMStdDev,RiskTransferCostPM,SlippageToRiskTransferPricePM,SlippageToRiskTransferPricePMStdDev,SlippageToArrivalMidNetPM,SlippageToArrivalMidNetPMStdDev,SlippageToArrivalMidTradeNetPM,SlippageToArrivalMidRemainNetPM,SlippageToTWAPMidNetPM,SlippageToTWAPMidNetPMStdDev,SlippageToRiskTransferPriceNetPM,SlippageToRiskTransferPriceNetPMStdDev,ExecutionScore,ReversalScore,SlippageToRiskTransferPriceIR,SlippageToRiskTransferPriceNetIR
0,LP1,18,1715342318.9,3213469750.0,1918.5268379619608,4.949079610194337,35.50825004707998,23.73844979392818,127.21500845233018,290.6285130006307,206.82502000878276,52.17274896249062,61.48891631444601,98.05514339523874,452.9067642595753,-325.691755807245,337.31170910674416,127.21500845233018,290.6285130006307,206.82502000878276,52.17274896249062,61.48891631444601,98.05514339523874,-325.691755807245,337.31170910674416,37.85419290801458,36.35688233828944,0.9655512898432412,0.9655512898432412
1,LP2,32,2717062378.625,5533393750.0,1777.0575228399778,4.841448604685488,140.8310528003749,26.49467939072993,-40.5580830388768,496.1140424691958,-25.706729273128985,-57.98036778456998,10.837354162892865,64.32643897805812,545.6420564220715,-586.2001394609484,673.8607399015713,-40.5580830388768,496.1140424691958,-25.706729273128985,-57.98036778456998,10.837354162892865,64.32643897805812,-586.2001394609484,673.8607399015713,39.70285099186201,48.13113504679451,0.8699128837014201,0.8699128837014201
2,LP3,25,2129669755.55,4203720250.0,1310.9830450210293,4.120410557924662,125.84547257332041,24.940180818777918,14.665224094581598,579.7291031947582,-35.481237686757886,84.0543321839746,-2.0918525377020045,99.78601233964106,446.8539221207534,-432.18869802617166,719.2598931467156,14.665224094581598,579.7291031947582,-35.481237686757886,84.0543321839746,-2.0918525377020045,99.78601233964106,-432.18869802617166,719.2598931467156,40.43759067365227,40.96090374233329,0.6008797406113859,0.6008797406113859
3,TOTAL,75,6562074453.075,12950583750.0,1662.7771345949432,4.635576374513026,108.4359620090482,25.26969392017286,21.220504465742984,487.43768966192243,31.90539899372971,16.91017345979291,19.8817239011286,90.00721246474473,489.3399105728294,-468.1194061070865,630.1997464923904,21.220504465742984,487.43768966192243,31.90539899372971,16.91017345979291,19.8817239011286,90.00721246474473,-468.1194061070865,630.1997464923904,39.458061241703625,42.72627429013079,0.7428111621951263,0.7428111621951263
