Time,Mid,LimitPrice,IsActive,SlippageToArrivalMidPM,SlippageToArrivalMidPMUser,SlippageToArrivalMidPMBank,TradeQuantityRemainUSD
2018-09-04 08:00:00.000,111.4575,,Active,0.0,0.0,0.0,50000000.0
2018-09-04 08:00:00.000,111.4575,111.1945,Active,0.0,0.0,0.0,50000000.0
2018-09-04 08:00:06.000,111.4575,111.1945,Active,0.0,0.0,0.0,
2018-09-04 08:00:07.000,111.4565,111.1945,Active,8.972029697333639,0.0,8.972029697333639,
2018-09-04 08:00:11.000,111.4575,111.1945,Active,0.0,0.0,0.0,
2018-09-04 08:00:12.000,111.4565,111.1945,Active,8.972029697333639,0.0,8.972029697333639,
2018-09-04 08:00:14.000,111.4575,111.1945,Active,0.0,0.0,0.0,
2018-09-04 08:00:15.000,111.4565,111.1945,Active,8.972029697333639,0.0,8.972029697333639,
2018-09-04 08:00:18.000,111.4575,111.1945,Active,0.0,0.0,0.0,
2018-09-04 08:00:21.000,111.458,111.1945,Active,-4.486014848730569,0.0,-4.486014848730569,
2018-09-04 08:00:25.000,111.4575,111.1945,Active,0.0,0.0,0.0,
2018-09-04 08:00:26.000,111.45949999999999,111.1945,Active,-17.944059394794778,0.0,-17.944059394794778,
2018-09-04 08:00:27.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:00:29.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
2018-09-04 08:00:30.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:00:37.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:00:41.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:00:45.000,111.459,111.1945,Active,-13.458044546191708,0.0,-13.458044546191708,
2018-09-04 08:00:48.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:00:52.000,111.457,111.1945,Active,4.48601484873057,0.0,4.48601484873057,
2018-09-04 08:00:58.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:01:16.000,111.457,111.1945,Active,4.48601484873057,0.0,4.48601484873057,
2018-09-04 08:01:24.000,111.4565,111.1945,Active,8.97202969733364,0.0,8.97202969733364,
2018-09-04 08:01:31.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
2018-09-04 08:01:33.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
2018-09-04 08:01:34.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:01:35.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
2018-09-04 08:01:36.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:01:37.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:01:38.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
2018-09-04 08:01:48.000,111.457,111.1945,Active,4.48601484873057,0.0,4.48601484873057,
2018-09-04 08:01:50.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:01:51.000,111.4565,111.1945,Active,8.97202969733364,0.0,8.97202969733364,
2018-09-04 08:01:52.000,111.4575,111.1945,Active,1.4359584653133563e-15,0.0,1.4359584653133563e-15,
2018-09-04 08:01:53.000,111.45849999999999,111.1945,Active,-8.972029697333637,0.0,-8.972029697333637,
2018-09-04 08:01:55.000,111.458,111.1945,Active,-4.486014848730568,0.0,-4.486014848730568,
