Time,LP1,LP2,LP3,LP4,LP5
-5s,103.4553873,23.63922684,23.03336842,9.40735018,15.55916453
-1s,97.20134717,21.80317039,25.54745726,15.28607748,11.62378416
0,94.26270179,24.90151565,32.83665545,16.82508392,9.651682116
5s,57.86870901,5.393415833,33.9609427,-16.01398594,6.957505423
10s,39.25728827,-5.967183474,32.48401922,-4.700208859,10.26493085
30s,47.16902583,-1.37704234,22.34469062,-7.265219593,14.26207728
1m,50.03232133,23.8687339,27.72965319,17.06078761,45.71717842
3m,22.90636398,-38.90144611,24.9832393,22.37798554,-3.925086023
5m,19.36491955,1.23E-11,76.12793777,5.23400839,37.02875271
