Time,LP1,LP2,LP3,LP4,LP5,LP6
-10s,90.0795136,44.68866331,9.816658103,31.47766051,37.7601665,42.26237328
-5s,76.58727211,35.02306559,12.237441,25.01831715,25.44543004,32.15397825
-4s,76.07224421,33.8855828,11.05637137,23.70541051,24.0900704,30.74755398
-3s,78.85440186,33.76548297,15.60011842,21.80900199,22.39863271,30.74550946
-2s,75.02174554,33.33894138,13.5491278,25.47593658,22.6131372,28.73951539
-1s,74.01665433,33.18767831,19.28275486,28.308176,19.36902298,27.86817062
-500ms,73.35398185,33.91466853,21.97504549,27.53112216,19.69561736,26.27219115
-250ms,70.73319823,32.55708934,22.44068386,26.67411054,19.14265096,26.5113313
-100ms,69.38826008,31.45337878,22.31341163,23.22458221,20.39416537,27.04045642
0,68.06549851,28.68185771,23.36834239,22.23723864,20.39801773,25.99555195
50ms,67.51545729,27.35956731,23.27721915,21.49360057,20.5982369,25.60370422
100ms,65.96727321,26.29083877,23.47921893,20.65352265,21.60092495,24.73442094
250ms,56.4355868,18.48467362,21.20360903,19.79080602,22.51737576,20.60762284
500ms,48.44922827,13.0479475,17.94241818,16.38769004,19.79080484,16.49517864
1s,46.98341731,11.78205257,18.84223448,12.80023171,17.95996209,14.23178045
2s,45.48147631,9.246558483,19.99981062,7.282764523,15.28407576,10.7812607
3s,48.66864667,5.983801642,22.41144257,6.182447691,15.32657383,10.05271631
4s,50.19604155,3.276514357,25.41044994,5.649078782,13.96190459,7.876786409
5s,48.82030965,2.509864677,28.2426131,1.919421841,12.22371528,7.795432943
10s,26.83108066,-1.334628671,24.36159474,-2.089351036,14.82119323,3.55943957
15s,21.20066753,-2.888564259,26.24736318,-9.92054711,11.84224908,-1.746924373
20s,19.37550427,-5.599512365,19.76756738,-14.50766379,10.93082137,0.421748311
30s,24.91480015,-8.334381114,15.41089538,-19.1841402,13.15107823,-0.141393253
45s,34.39813429,-4.317198731,23.03323079,-20.29827765,14.28013384,0.256635923
1m,42.74967104,-3.802731965,26.00696451,-19.04783282,23.71460833,10.99892034
2m,60.73166862,3.643129885,28.71182675,-21.44694056,36.0769536,15.3134687
3m,56.26103885,-0.219265005,37.37934466,-31.39067735,24.88650442,16.91801034
4m,69.70405099,10.34331774,53.71567195,-27.4924431,36.00823917,10.12382675
5m,79.12015879,34.31912415,62.1089825,-25.52267591,51.97499744,28.69389907
10m,108.7373606,53.14769393,41.82145952,-20.9923117,36.03600674,44.32997452
