TradeTime,OrderStatus,TradeQuantityUSD,Symbol,Side,Price,SpreadPnL,DecayNeg10s,DecayPMNeg10s,Mid0,Decay30s,DecayPM30s
2017-02-02 05:50:52.498,F,382507.5,AUDUSD,S,0.76498,17.500000000003624,-17.500000000003624,-45.75073691359677,0.765015,-72.50000000003087,-189.5387672137261
2017-02-02 05:50:52.587,F,382507.5,AUDUSD,S,0.76498,17.500000000003624,-17.500000000003624,-45.75073691359677,0.765015,-72.50000000003087,-189.5387672137261
2017-02-02 07:08:30.836,F,381755.0,AUDUSD,B,0.76352,4.999999999977245,42.50000000000087,111.32794593393669,0.76351,7.499999999993623,19.646108105897397
2017-02-02 07:08:30.842,F,381755.0,AUDUSD,B,0.76352,4.999999999977245,42.50000000000087,111.32794593393669,0.76351,7.499999999993623,19.646108105897397
2017-02-02 08:59:58.495,F,766980.0,AUDUSD,S,0.76701,-29.99999999997449,70.0000000000145,91.26704738060542,0.76698,-99.99999999998899,-130.3814962581029
2017-02-02 08:59:59.147,F,383500.0,AUDUSD,S,0.767,0.0,45.00000000001725,117.34028683185738,0.767,-39.999999999984496,-104.30247718384855
2017-02-02 08:59:59.488,F,767004.9999999999,AUDUSD,S,0.76701,-5.000000000032756,94.99999999995623,123.85838423467632,0.7670049999999999,-75.00000000004725,-97.78293492224144
2017-02-02 08:59:59.603,F,1150507.5,AUDUSD,S,0.767,7.499999999882601,142.49999999993435,123.85838423467632,0.7670049999999999,-112.50000000007088,-97.78293492224144
2017-02-02 09:19:13.552,F,230196.0,AUDUSD,S,0.76732,0.0,16.499999999974868,71.67804827179492,0.76732,-14.999999999998348,-65.16186206528829
2017-02-02 09:19:13.641,F,153472.0,AUDUSD,S,0.76732,8.000000000008,18.0000000000069,117.28523769816147,0.76736,-1.999999999990898,-13.031693077536488
2017-02-02 11:39:59.992,F,767220.0,AUDUSD,S,0.76722,0.0,20.000000000020002,26.068142123580884,0.76722,-29.99999999997449,-39.10221318514928
2017-02-02 11:40:00.076,F,767230.0,AUDUSD,S,0.76722,9.99999999995449,29.99999999997449,39.101703530830534,0.76723,4.999999999921734,6.516950588397741
2017-02-02 12:27:23.477,F,383710.0,AUDUSD,S,0.7674,10.000000000010001,2.500000000016378,6.515337103607521,0.76742,55.00000000002725,143.3374162780332
2017-02-02 12:27:23.489,F,613936.0,AUDUSD,S,0.7674,16.000000000016,4.000000000026205,6.515337103607521,0.76742,88.0000000000436,143.3374162780332
2017-02-02 12:27:23.580,F,537194.0,AUDUSD,S,0.7674,14.000000000014001,3.500000000022929,6.515337103607521,0.76742,77.00000000003814,143.3374162780332
2017-02-02 20:53:16.136,F,1532600.0,AUDUSD,B,0.76633,59.99999999994898,20.000000000131024,13.049719431057483,0.7663,-0.0,0.0
2017-02-02 20:53:16.338,F,766300.0,AUDUSD,B,0.76632,20.000000000020002,10.000000000065512,13.049719431057483,0.7663,-0.0,0.0
2017-02-02 21:47:51.070,F,766080.0000000001,AUDUSD,S,0.76603,50.000000000105516,0.0,-0.0,0.7660800000000001,45.00000000007276,58.74060150390381
2017-02-02 14:58:44.757,F,1081845.0,EURUSD,S,1.08184,5.000000000032756,-115.00000000008725,-106.29988584320849,1.081845,99.99999999998899,92.43468334185766
2017-02-02 14:58:44.763,F,3245535.0,EURUSD,S,1.08183,44.99999999962867,-345.00000000026176,-106.29988584320849,1.081845,299.999999999967,92.43468334185766
2017-02-02 14:58:44.853,F,1081845.0,EURUSD,S,1.08183,14.999999999876223,-115.00000000008725,-106.29988584320849,1.081845,99.99999999998899,92.43468334185766
2017-02-02 14:58:44.874,F,1081845.0,EURUSD,S,1.08184,5.000000000032756,-115.00000000008725,-106.29988584320849,1.081845,99.99999999998899,92.43468334185766
2017-02-02 14:58:44.956,F,1081845.0,EURUSD,S,1.08183,14.999999999876223,-115.00000000008725,-106.29988584320849,1.081845,99.99999999998899,92.43468334185766
2017-02-02 14:58:45.761,F,1081845.0,EURUSD,S,1.08183,14.999999999876223,-35.00000000000725,-32.35213916963353,1.081845,109.99999999983245,101.67815167594352
2017-02-02 14:58:45.870,F,1081845.0,EURUSD,S,1.08183,14.999999999876223,-15.000000000098268,-13.865202501461837,1.081845,124.99999999993072,115.54335417729433
2017-02-02 14:59:38.969,R,1081825.0,EURUSD,S,,-5.000000000032756,0.0,69.32729415576321,1.081825,0.0,171.0073255839495
2017-02-02 15:00:57.536,F,1081795.0,EURUSD,S,1.08183,-35.00000000000725,45.00000000007276,41.59753003118993,1.081795,105.00000000002174,97.0609034058878
2017-02-02 15:00:57.552,F,3245490.0,EURUSD,S,1.08183,0.0,135.00000000021828,41.596184243486434,1.08183,345.00000000026176,106.3013597331075
2017-02-02 15:00:57.613,F,1081830.0,EURUSD,S,1.08183,0.0,45.00000000007276,41.596184243486434,1.08183,115.00000000008725,106.3013597331075
2017-02-02 15:00:58.083,F,1081840.0000000002,EURUSD,S,1.08183,10.000000000065512,65.00000000020378,60.08282185920866,1.0818400000000001,120.00000000012001,110.92213266294948
2017-02-02 15:00:58.539,F,1081840.0000000002,EURUSD,S,1.08184,2.220446049250313e-10,95.00000000017828,87.81335502494602,1.0818400000000001,120.00000000012001,110.92213266294948
2017-02-02 15:00:58.608,F,1081840.0000000002,EURUSD,S,1.08184,2.220446049250313e-10,95.00000000017828,87.81335502494602,1.0818400000000001,120.00000000012001,110.92213266294948
2017-02-02 15:00:58.842,F,4327360.000000001,EURUSD,S,1.08184,8.881784197001252e-10,380.0000000007131,87.81335502494602,1.0818400000000001,560.000000000116,129.40915477333004
2017-02-02 15:00:59.544,F,1190024.0000000002,EURUSD,S,1.08184,2.4424906541753444e-10,121.0000000003042,101.67862160792573,1.0818400000000001,132.00000000013202,110.92213266294948
2017-02-02 15:00:59.612,F,1081840.0000000002,EURUSD,S,1.08184,2.220446049250313e-10,110.00000000027654,101.67862160792573,1.0818400000000001,120.00000000012001,110.92213266294948
2017-02-02 17:35:22.756,F,1254775.0,GBPUSD,B,1.25476,-14.999999999876223,-14.999999999876223,-11.954334442343395,1.254775,145.00000000006173,115.55856627687433
2017-02-02 17:35:22.758,F,1254775.0,GBPUSD,B,1.2548,24.999999999941735,-14.999999999876223,-11.954334442343395,1.254775,145.00000000006173,115.55856627687433
2017-02-02 17:35:22.769,F,1254775.0,GBPUSD,B,1.2548,24.999999999941735,-14.999999999876223,-11.954334442343395,1.254775,145.00000000006173,115.55856627687433
2017-02-02 17:35:22.958,F,1254775.0,GBPUSD,B,1.25478,5.000000000032756,-14.999999999876223,-11.954334442343395,1.254775,145.00000000006173,115.55856627687433
2017-02-02 00:29:32.720,F,900000.0,USDJPY,B,113.012,59.73213456095872,-47.78570764881225,-53.09523072094535,113.00450000000001,131.4106960341771,146.0118844824887
2017-02-02 15:16:22.792,F,200000.0,USDJPY,B,112.446,3.5573263135344506,-26.679947351571567,-133.39973675785544,112.444,6.225321048678969,31.12660524329236
2017-02-02 15:16:22.993,F,400000.0,USDJPY,B,112.446,7.114652627068901,-53.359894703143134,-133.39973675785544,112.444,12.450642097357939,31.12660524329236
2017-02-02 16:22:47.407,F,800000.0,USDJPY,S,112.656,31.95441170591691,-49.70686265376065,-62.13357831730271,112.6605,24.853431326779415,31.06678915842931
2017-02-02 16:22:47.417,F,1000000.0,USDJPY,S,112.657,31.06678915860041,-62.133578317200815,-62.13357831730271,112.6605,31.06678915847427,31.06678915842931
2017-02-02 16:22:47.506,F,1000000.0,USDJPY,S,112.657,31.06678915860041,-62.133578317200815,-62.13357831730271,112.6605,31.06678915847427,31.06678915842931
2017-02-02 16:22:47.517,F,1000000.0,USDJPY,S,112.658,22.190563684678537,-62.133578317200815,-62.13357831730271,112.6605,31.06678915847427,31.06678915842931
2017-02-02 16:22:47.525,F,900000.0,USDJPY,S,112.656,35.94871316915653,-55.92022048548073,-62.13357831730271,112.6605,27.96011024262684,31.06678915842931
2017-02-02 16:22:47.609,F,1000000.0,USDJPY,S,112.659,13.314338210756667,-62.133578317200815,-62.13357831730271,112.6605,31.06678915847427,31.06678915842931
2017-02-02 16:22:47.612,F,800000.0,USDJPY,S,112.656,31.95441170591691,-49.70686265376065,-62.13357831730271,112.6605,24.853431326779415,31.06678915842931
2017-02-02 16:31:30.816,F,1000000.0,USDJPY,S,112.55,-17.770195827516606,66.63823435328196,66.63823435326677,112.548,119.94882183595804,119.948821835969
2017-02-02 16:31:30.818,F,2000000.0,USDJPY,S,112.548,0.0,133.27646870656392,66.63823435326677,112.548,239.8976436719161,119.948821835969
2017-02-02 16:31:30.915,F,1000000.0,USDJPY,S,112.547,8.885097913821435,66.63823435328196,66.63823435326677,112.548,119.94882183595804,119.948821835969
2017-02-02 18:24:49.348,F,500000.0,USDJPY,S,112.683,17.74827619863284,-17.748276198695894,-35.496552397429326,112.687,90.95991551819823,181.91983103643673
2017-02-02 18:25:24.700,F,1000000.0,USDJPY,S,112.665,13.313629162110756,0.0,-0.0,112.6665,204.14231381995654,204.14231381993275
2017-02-02 18:25:24.802,R,1000000.0,USDJPY,S,,-4.437876387412296,0.0,-0.0,112.6665,0.0,204.14231381993275
2017-02-02 18:25:24.804,R,2000000.0,USDJPY,S,,26.62725832422151,0.0,-0.0,112.6665,0.0,204.14231381993275
2017-02-02 18:25:24.908,F,1000000.0,USDJPY,S,112.662,39.9408874864584,0.0,-0.0,112.6665,204.14231381995654,204.14231381993275
